"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"637","637","Parque La Molina EO204","-12.0763897","-76.9341888","","","0","","America/Lima","0"
"638","638","Parque La Molina OE204","-12.0762569","-76.9345477","","","0","","America/Lima","0"
"639","639","Pisco-Alipio Ponce con Concordia","-13.7074897","-76.20462","","","0","","America/Lima","0"
"640","640","Pisco-Barrio Nuevo con Ayacucho","-13.7073997","-76.2015397","","","0","","America/Lima","0"
"641","641","Pisco-Barrio Nuevo con San Clemente","-13.7074997","-76.19898","","","0","","America/Lima","0"
"500400","500400","Soyuz","-12.0758819","-77.0267861","","","0","","America/Lima","0"
"642","642","Pisco-Barrio nuevo con Ismael Aspillaga","-13.7073997","-76.1968997","","","0","","America/Lima","0"
"643","643","Univ de Lima EO 206","-12.08355","-76.9728","","","0","","America/Lima","0"
"644","644","Evitamiento EO 206","-12.08459","-76.98014","","","0","","America/Lima","0"
"645","645","Masias EO 206","-12.0910397","-77.0253697","","","0","","America/Lima","0"
"646","646","Orquideas EO 206","-12.0914047","-77.0279377","","","0","","America/Lima","0"
"647","647","Salaverry EO 206","-12.09313","-77.05292","","","0","","America/Lima","0"
"648","648","Escobedo EO 206","-12.09018","-77.0573397","","","0","","America/Lima","0"
"649","649","La Mar OE 206","-12.0746266","-77.0795736","","","0","","America/Lima","0"
"810175","810175","HUIRACOCHA B","-12.00841","-77.00428","","","0","","America/Lima","0"
"810176","810176","LA HACIENDA B","-12.0068338","-77.0052888","","","0","","America/Lima","0"
"810177","810177","12 PROCERES","-12.00306","-77.00765","","","0","","America/Lima","0"
"810178","810178","15 PROCERES B","-12.0007811","-77.0085911","","","0","","America/Lima","0"
"810179","810179","ESTACION LOS POSTES B","-11.9977699","-77.0093788","","","0","","America/Lima","0"
"500425","500425","LOS CIRUELOS","-11.9831749","-77.0060391","","","0","","America/Lima","0"
"500424","500424","DEL PARQUE A","-11.9783422","-77.0039661","","","0","","America/Lima","0"
"810170","810170","PTE NUEVO B","-12.02904","-76.99957","","","0","","America/Lima","0"
"810171","810171","CHIMU B","-12.0256188","-77.0003319","","","0","","America/Lima","0"
